
 Version: 2.1
 Chunks: 1
 Start: 2026-05-22 10:56:28 (UTC)
 Duration: 4 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.ModuleExport                         1395         15164
 jdk.ObjectAllocationSample                961         15299
 jdk.ActiveSetting                         724         21614
 jdk.NativeLibrary                         666         58473
 jdk.GCPhaseParallel                       603         15600
 jdk.ThreadPark                            553         22091
 jdk.BooleanFlag                           491         15444
 jdk.SystemProcess                         462         43141
 jdk.Checkpoint                            248        919801
 jdk.NativeMethodSample                    211          2347
 jdk.PromoteObjectInNewPLAB                164          2970
 jdk.LongFlag                              162          5416
 jdk.ModuleRequire                         158          1580
 jdk.UnsignedLongFlag                      134          4700
 jdk.ThreadSleep                            87          1695
 jdk.ThreadAllocationStatistics             82           972
 jdk.InitialEnvironmentVariable             72          7601
 jdk.Deoptimization                         59          1484
 jdk.InitialSecurityProperty                49          2597
 jdk.ExecuteVMOperation                     30           481
 jdk.SafepointBegin                         30           450
 jdk.TenuringDistribution                   30           344
 jdk.StringFlag                             29           912
 jdk.PromoteObjectOutsidePLAB               28           460
 jdk.JavaMonitorWait                        26           654
 jdk.IntFlag                                23           938
 jdk.GCPhasePauseLevel1                     16           642
 jdk.DoubleFlag                             15           620
 jdk.InitialSystemProperty                  15          1187
 jdk.UnsignedIntFlag                        15           506
 jdk.ClassLoaderStatistics                  14           361
 jdk.GCReferenceStatistics                  12           135
 jdk.MetaspaceChunkFreeListSummary          12           228
 jdk.OldObjectSample                        12           400
 jdk.GCPhasePauseLevel2                     11           385
 jdk.ThreadEnd                               8            80
 jdk.ExecutionSample                         7            82
 jdk.CodeCacheStatistics                     6           174
 jdk.G1HeapSummary                           6           152
 jdk.GCHeapMemoryPoolUsage                   6           234
 jdk.GCHeapSummary                           6           234
 jdk.GCPhaseConcurrent                       6           279
 jdk.MetaspaceSummary                        6           312
 jdk.ClassLoadingStatistics                  4            44
 jdk.CompilerStatistics                      4           116
 jdk.ExceptionStatistics                     4            54
 jdk.G1MMU                                   4            56
 jdk.GCCPUTime                               4            66
 jdk.GCPhaseConcurrentLevel1                 4           153
 jdk.GCPhasePause                            4           104
 jdk.JavaErrorThrow                          4           194
 jdk.JavaThreadStatistics                    4            48
 jdk.ResidentSetSize                         4            67
 jdk.ThreadCPULoad                           4            68
 jdk.ThreadStart                             4            52
 jdk.CPULoad                                 3            60
 jdk.GarbageCollection                       3            72
 jdk.CompilationFailure                      2           112
 jdk.EvacuationInformation                   2            56
 jdk.FinalizerStatistics                     2            34
 jdk.G1AdaptiveIHOP                          2            74
 jdk.G1BasicIHOP                             2            74
 jdk.G1EvacuationOldStatistics               2            63
 jdk.G1EvacuationYoungStatistics             2            74
 jdk.G1GarbageCollection                     2            28
 jdk.GCConfiguration                         2            52
 jdk.GCHeapMemoryUsage                       2            42
 jdk.PhysicalMemory                          2            36
 jdk.YoungGarbageCollection                  2            28
 jdk.ActiveRecording                         1            56
 jdk.CPUInformation                          1           115
 jdk.CPUTimeStampCounter                     1            20
 jdk.ClassRedefinition                       1            12
 jdk.CodeCacheConfiguration                  1            43
 jdk.CompilerConfiguration                   1            11
 jdk.GCHeapConfiguration                     1            26
 jdk.GCSurvivorConfiguration                 1            11
 jdk.GCTLABConfiguration                     1            13
 jdk.JVMInformation                          1           394
 jdk.Metadata                                1        104071
 jdk.MetaspaceGCThreshold                    1            17
 jdk.OSInformation                           1           144
 jdk.OldGarbageCollection                    1            13
 jdk.RetransformClasses                      1            16
 jdk.VirtualizationInformation               1            36
 jdk.YoungGenerationConfiguration            1            18
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.Compilation                             0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerQueueUtilization                0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.Deserialization                         0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.Flush                                   0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.GCLocker                                0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.HeapDump                                0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JavaAgent                               0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.NativeAgent                             0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.NetworkUtilization                      0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.ObjectCount                             0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PSHeapSummary                           0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ProcessStart                            0             0
 jdk.PromotionFailed                         0             0
 jdk.RedefineClasses                         0             0
 jdk.ReservedStackActivation                 0             0
 jdk.SafepointCleanup                        0             0
 jdk.SafepointCleanupTask                    0             0
 jdk.SafepointEnd                            0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.Shutdown                                0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.StringFlagChanged                       0             0
 jdk.StringTableStatistics                   0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.SystemGC                                0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.ThreadDump                              0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.VirtualThreadStart                      0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
